,City,Country,Date,Specie,Unnamed: 0,count,max,median,min,variance,iaqi,AQI
294541,Albuquerque,US,2019-12-30 00:00:00,co,294541.0,48,5.8,2.4,1.0,16.15,26,59
294802,Albuquerque,US,2019-12-30 00:00:00,o3,294802.0,63,36.1,24.8,0.8,1044.51,20,59
295143,Albuquerque,US,2019-12-30 00:00:00,pm10,295143.0,72,50.0,9.0,2.0,888.29,8,59
295469,Albuquerque,US,2019-12-30 00:00:00,pm25,295469.0,72,64.0,16.0,6.0,2142.06,59,59
295542,Albuquerque,US,2019-12-30 00:00:00,no2,295542.0,24,22.3,6.5,2.8,422.85,6,59
294609,Albuquerque,US,2019-12-31 00:00:00,co,294609.0,48,8.8,1.9,0.8,38.6,20,59
294866,Albuquerque,US,2019-12-31 00:00:00,o3,294866.0,70,36.1,24.8,0.8,1034.82,20,59
295104,Albuquerque,US,2019-12-31 00:00:00,pm10,295104.0,69,110.0,9.0,2.0,3643.12,8,59
295374,Albuquerque,US,2019-12-31 00:00:00,pm25,295374.0,70,95.0,16.0,5.0,3867.33,59,59
295589,Albuquerque,US,2019-12-31 00:00:00,no2,295589.0,24,34.3,5.6,2.8,716.43,5,59
294547,Albuquerque,US,2020-01-01 00:00:00,co,294547.0,46,8.3,1.6,0.4,39.69,18,57
294836,Albuquerque,US,2020-01-01 00:00:00,o3,294836.0,66,37.6,30.4,0.8,978.91,25,57
295100,Albuquerque,US,2020-01-01 00:00:00,pm10,295100.0,72,52.0,7.0,1.0,1566.57,6,57
295394,Albuquerque,US,2020-01-01 00:00:00,pm25,295394.0,72,97.0,15.0,3.0,6003.82,57,57
295573,Albuquerque,US,2020-01-01 00:00:00,no2,295573.0,24,19.5,4.7,2.8,226.78,4,57
294570,Albuquerque,US,2020-01-02 00:00:00,co,294570.0,48,4.8,2.0,0.8,7.03,23,63
294709,Albuquerque,US,2020-01-02 00:00:00,so2,294709.0,3,1.5,1.5,1.5,0.0,1,63
294811,Albuquerque,US,2020-01-02 00:00:00,o3,294811.0,72,35.2,26.4,5.6,480.06,22,63
295059,Albuquerque,US,2020-01-02 00:00:00,pm10,295059.0,69,32.0,10.0,1.0,605.87,9,63
295382,Albuquerque,US,2020-01-02 00:00:00,pm25,295382.0,69,68.0,18.0,4.0,1675.75,63,63
295539,Albuquerque,US,2020-01-02 00:00:00,no2,295539.0,24,14.9,7.5,3.8,125.76,7,63
294519,Albuquerque,US,2020-01-03 00:00:00,co,294519.0,48,6.4,1.9,1.2,14.51,20,53
294747,Albuquerque,US,2020-01-03 00:00:00,so2,294747.0,3,1.5,1.5,1.5,0.0,1,53
