,City,County,Country,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population,Unnamed: 17,Lifted Date,lat,lng
0,Albuquerque,Bernalillo,US,560218,2972.0,679121.0,571.0,3/23/2020,16.5,67.1,2.9,2.7,5.3,0.0,17.1,4.8,103210.0,,,35.1053,-106.6464
1,Anyang,Henan,CN,950301,4500.0,,,,,,,,,,,,,,,23.937964,108.097654
2,Atlanta,Fulton,US,498044,3539.0,1063937.0,1967.0,3/24/2020,13.5,42.1,44.1,8.1,0.2,0.0,3.0,2.5,113402.0,,,33.1136,-94.1672
11,Austin,Travis,US,964254,3031.0,1273954.0,1287.0,4/2/2020,12.0,67.6,8.4,7.0,0.7,0.0,12.4,3.7,110350.0,,,30.3006,-97.7517
17,Baltimore,Baltimore,US,602495,7598.0,827370.0,1384.0,4/1/2020,18.9,29.4,62.4,2.8,0.3,0.0,2.4,2.5,80846.0,,,39.3051,-76.6144
19,Beijing,,CN,21450000,13400.0,,,2/10/2020,,,,,,,,,,,,39.928819,116.388869
20,Boise,Ada,US,228790,2718.0,481587.0,457.0,3/25/2020,9.7,88.5,1.4,2.8,0.7,0.2,2.9,3.5,60097.0,,,43.6007,-116.2312
21,Boston,Suffolk,US,694583,13933.0,1476601.0,1637.0,3/24/2020,17.5,52.7,21.6,8.9,0.0,0.0,11.7,4.6,91123.0,,,40.312,-79.8237
27,Brooklyn,Kings,US,2559903,36146.6,2559903.0,36146.6,3/22/2020,18.9,42.3,31.9,13.1,0.5,0.0,8.6,3.6,343548.0,,,42.8524,-89.3723
34,Changchun,Jilin,CN,4394354,5600.0,,,2/6/2020,,,,,,,,,,,,43.88,125.322778
35,Changsha,Hunan,CN,5320300,11000.0,,,,,,,,,,,,,,,28.2,112.96666699999999
37,Changzhou,Jiangsu,CN,3582581,4600.0,,,2/4/2020,,,,,,,,,,,,31.773584999999997,119.954007
38,Charlotte,Mecklenburg,US,872498,2757.0,1110356.0,2119.0,3/30/2020,11.7,50.9,32.0,6.5,0.5,0.1,7.0,3.0,112217.0,,,28.8593,-98.7006
43,Chengdu,Sichuan,CN,11940500,18000.0,,,2/7/2020,,,,,,,,,,,,30.666666999999997,104.06666700000001
