City,County,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population
Albuquerque,Bernalillo,560218,2972,679121,571,3/23/2020,16.5,67.1,2.9,2.7,5.3,0,17.1,4.8,103210
Atlanta,Fulton,498044,3539,1063937,1967,3/24/2020,13.5,42.1,44.1,8.1,0.2,0,3,2.5,113402
Austin,Travis,964254,3031,1273954,1287,4/2/2020,12,67.6,8.4,7,0.7,0,12.4,3.7,110350
Baltimore,Baltimore,602495,7598,827370,1384,4/1/2020,18.9,29.4,62.4,2.8,0.3,0,2.4,2.5,80846
Boise,Ada,228790,2718,481587,457,3/25/2020,9.7,88.5,1.4,2.8,0.7,0.2,2.9,3.5,60097
Boston,Suffolk,694583,13933,1476601,1637,3/24/2020,17.5,52.7,21.6,8.9,0,0,11.7,4.6,91123
Brookyln,Kings,2559903,36146.6,2559903,36146.6,3/22/2020,18.9,42.3,31.9,13.1,0.5,0,8.6,3.6,343548
Charlotte,Mecklenburg,872498,2757,1110356,2119,3/30/2020,11.7,50.9,32,6.5,0.5,0.1,7,3,112217
Chicago,Cook,2705994,11900,5150233,5450,3/21/2020,13.8,54,23.2,7.8,0,0,11.6,3,724730
Columbia,Richland,429082,1006,415759,549,3/29/2020,16.7,45.5,46.5,2.8,0.3,0.1,2,2.7,48691
Columbus,Franklin,892533,3936,1316756,2475,3/23/2020,15.5,64.2,23.3,5.7,0.2,0.1,2.8,3.7,146002
Dallas,Dallas,1345047,3866,2635516,3019,4/2/2020,14.2,49.9,23,6.6,0.1,0,16.6,3.3,263792
Denver,Denver,716492,4521,727211,4520,3/24/2020,11.7,66.8,10.2,4.4,0.2,0,12.3,4.8,78751
Detroit,Wayne,672662,4847,1749343,2858,3/24/2020,21.7,52.7,38.1,3.6,0.4,0,2.1,3,258954
El Paso,El Paso,682669,2660,839238,830,3/24/2020,20.5,80.4,3.8,1.3,0.8,0.2,10.8,2.7,97464
Fort Worth,Tarrant,895008,2491,2102515,2433,3/24/2020,12.1,61.8,17.1,5.7,0.6,0.2,11.1,3.6,216591
Fresno,Fresno,530093,4563,999101,167,3/19/2020,21.3,52.7,5.1,10.3,1.6,0.2,25.1,5,114438
Hartford,Hartford,122587,7083,891720,1213,3/23/2020,11.2,67.4,14.4,5.8,0.3,0,8.7,3.3,147260
Honolulu,Honolulu,347397,5815,974563,1621,3/25/2020,7.7,20.8,2.7,42.5,0.3,9.3,1.2,23.1,166432
Houston,Harris,2325502,3613,4713325,2767,3/24/2020,16.5,54,19.1,7.3,0.6,0.1,15.2,3.7,452327
Indianapolis,Marion,867125,2366,964582,2435,3/23/2020,17.1,57.7,28.6,3.7,0.3,0.1,6.2,3.5,113355
Jackson,Hinds,166422,1524,231840,100,4/1/2020,19.4,24.4,72.7,0.8,0.2,0,0.7,1.1,31686
Jacksonville,Duval,903889,1178,957755,1256,4/3/2020,14.5,57.9,30.1,5,0.4,0.1,2.9,3.6,123480
Las Vegas,Clark,644644,4709,2266715,287,4/1/2020,14,54.8,12.4,10.4,0.7,0.8,14.9,6.1,301845
Little Rock,Pulsaki,197881,1673,391911,515,N/A,16.7,54.4,36.9,2.4,0.4,0.1,3.3,2.6,56988
Los Angeles,Los Angeles,3990456,8484,10039107,2473,3/19/2020,14.2,48.6,8.2,15,0.7,0.3,22.4,4.9,1299277
Madison,Dane,258054,3280,546695,456,3/27/2020,10.8,91.9,5.3,6.5,0.3,0,2.8,3,67689
Manhattan,New York,1628706,69467.5,1628706,69467.5,3/22/2020,15.6,55.3,14.8,13.1,0.5,0.1,11.8,4.5,257362
Memphis,Shelby,650618,2056,937165,1228,3/24/2020,21.7,37.3,54,2.7,0.2,0.1,3.9,1.9,118566
Miami,Miami-Dade,470914,12599,2716940,1431,3/26/2020,16,75.1,17.2,1.5,0.2,0,3.4,2.5,423353
Milwaukee,Milwaukee,592025,6186,945726,3924,3/25/2020,19.1,57.8,26.9,4.6,0.8,0,6.4,3.6,123013
Nashille,Davidson,669053,1388,694144,1377,3/23/2020,15.4,60.1,27.3,3.9,0.3,0.1,5.3,3.1,79891
Oakland,Alameda,429082,7514,1671329,2262,3/19/2020,9,39.6,10.4,31.4,0.6,0.8,10.8,6.4,215917
Omaha,Douglas,468262,3356,571327,1741,N/A,11.6,73.6,11,4.3,0.8,0.1,6.7,3.4,68170
Philadelphia,Philadelphia,1584138,11683,1584064,11824,3/23/2020,24.3,38.8,41.9,7.7,0.5,0.1,7.5,3.5,207563
Phoenix,Maricopa,1660272,3120,4485414,487,3/31/2020,12.3,69.4,5.9,4.3,2.2,0.2,13.8,4.1,615277
Portland,Multnomah,653115,4793,812855,1886,3/25/2020,12,73.7,5.9,8,1,0.6,5.6,5.2,100763
Providence,Providence,179335,9740,638931,1558,3/28/2020,16.1,67.8,9.7,4.6,0.8,0.1,11.8,5.1,93384
Queens,Queens,253858,20907,253858,20907,3/22/2020,11.6,35.9,18.5,26.4,0.7,0.1,13.4,5,340656
Raleigh,Wake,469298,3163,1111761,1331,3/30/2020,8.4,63.5,20.3,7.8,0.5,0.1,4.9,3,113852
Richmond,Richmond City,228783,3732,228783,3732,4/1/2020,22.3,43.3,47.3,2.3,0.3,0.1,4.1,2.6,27831
Sacramento,Sacramento,508529,5059,1552058,1608,3/19/2020,14.3,53.5,10.2,16.4,1,1.1,10.2,7.5,202207
Saint Paul,Ramsey,307695,5815,550321,3620,3/27/2020,14.6,63.1,12.7,16.3,0.7,0.1,3.1,4.1,74248
Salem,Marion,173442,3445,347818,293,3/23/2020,14.5,74.9,1.3,2.3,1.6,1,14.3,4.6,50268
Salt Lake City,Salt Lake,200591,1742,11690437,15755,3/30/2020,9,78.3,1.9,4.4,0.9,1.6,9,3.8,114930
San Antonio,Bexar,1532233,3238,1714773,1382,3/24/2020,17.2,70.8,8.1,3,0.8,0.2,13.2,3.9,223805
San Diego,San Diego,1425976,4325,3338330,794,3/19/2020,11.5,61.1,5,12.2,0.8,0.5,14.6,5.7,439595
San Francisco,San Francisco,883305,18568,883305,18568,3/19/2020,10.1,46.5,5.1,35.8,0.4,0.4,6.7,5.2,883305
San Jose,Santa Clara,1030119,5777,1927852,1494,3/19/2020,7.3,41.6,2.5,37.9,0.7,0.4,11.7,5.2,246908
Seattle,King,744955,8405,2252782,1064,3/23/2020,9.2,62.7,6.7,18.9,0.8,0.8,4.4,5.7,274609
