,City,Country,Date,Specie
10,Stuttgart,DE,2020-01-26,o3
41,Münster,DE,2020-01-27,o3
44,Köln,DE,2020-01-26,o3
47,Kassel,DE,2020-01-29,o3
110,Karlsruhe,DE,2020-01-26,o3
112,Karlsruhe,DE,2020-03-16,pm25
115,Karlsruhe,DE,2020-01-26,no2
117,Dresden,DE,2020-01-31,o3
119,Dresden,DE,2020-01-31,no2
123,Munich,DE,2020-01-26,o3
126,Berlin,DE,2020-01-26,o3
127,Berlin,DE,2020-03-21,o3
172,Düsseldorf,DE,2020-01-31,o3
175,Freiburg,DE,2020-02-10,o3
178,Freiburg,DE,2020-01-26,no2
182,Wiesbaden,DE,2020-01-27,o3
185,Wiesbaden,DE,2020-01-27,no2
189,Augsburg,DE,2020-01-27,o3
193,Darmstadt,DE,2020-01-29,o3
196,Darmstadt,DE,2020-01-29,no2
199,Potsdam,DE,2020-01-31,o3
203,Potsdam,DE,2020-01-31,so2
204,Potsdam,DE,2020-03-15,so2
207,Hamburg,DE,2020-01-31,o3
210,Łódź,PL,2020-01-28,o3
223,Tarnów,PL,2020-01-28,o3
224,Tarnów,PL,2020-03-23,o3
234,Gdańsk,PL,2020-03-11,o3
240,Katowice,PL,2020-01-31,o3
243,Katowice,PL,2020-01-30,pm25
253,Poznań,PL,2020-01-31,o3
264,Rybnik,PL,2020-01-31,o3
274,Rybnik,PL,2020-01-31,co
277,Szczecin,PL,2020-01-29,o3
287,Warsaw,PL,2020-01-31,o3
293,Warsaw,PL,2020-01-06,co
294,Warsaw,PL,2020-03-06,co
297,Bydgoszcz,PL,2020-01-31,o3
302,Zabrze,PL,2020-01-31,o3
303,Zabrze,PL,2020-03-21,o3
312,Wrocław,PL,2020-01-31,o3
313,Wrocław,PL,2020-04-05,o3
320,Wrocław,PL,2020-03-16,so2
324,Płock,PL,2020-01-31,o3
331,Płock,PL,2020-01-06,co
332,Płock,PL,2020-03-01,co
335,Kraków,PL,2020-01-31,o3
336,Kraków,PL,2020-03-21,o3
350,Thrissur,IN,2020-03-31,o3
354,Thrissur,IN,2020-01-29,no2
355,Thrissur,IN,2020-02-29,no2
356,Thrissur,IN,2020-03-30,no2
358,Thrissur,IN,2020-01-30,pm10
359,Thrissur,IN,2020-03-26,pm10
362,Thrissur,IN,2020-01-25,so2
365,Thrissur,IN,2020-01-20,co
366,Thrissur,IN,2020-03-06,co
367,Thrissur,IN,2020-03-31,co
371,New Delhi,IN,2020-02-27,pm25
379,Hyderabad,IN,2020-02-01,pm25
384,Hyderabad,IN,2020-03-22,no2
395,Hyderabad,IN,2020-03-07,co
399,Delhi,IN,2020-02-11,o3
403,Delhi,IN,2020-02-21,pm25
406,Delhi,IN,2020-03-22,no2
409,Delhi,IN,2020-02-21,pm10
413,Delhi,IN,2020-03-07,co
416,Chandigarh,IN,2020-01-23,o3
419,Chandigarh,IN,2020-02-21,pm25
422,Chandigarh,IN,2020-03-07,no2
424,Chandigarh,IN,2020-02-21,pm10
428,Chandigarh,IN,2020-03-27,co
435,Bhopal,IN,2020-01-17,pm25
436,Bhopal,IN,2020-03-07,pm25
439,Bhopal,IN,2020-03-07,no2
443,Bhopal,IN,2020-03-07,pm10
446,Bhopal,IN,2020-03-02,so2
451,Bhopal,IN,2020-03-05,co
452,Nagpur,IN,2020-02-24,o3
453,Nagpur,IN,2020-03-04,pm25
454,Nagpur,IN,2020-03-28,no2
455,Nagpur,IN,2020-03-11,pm10
456,Nagpur,IN,2020-03-04,so2
459,Lucknow,IN,2020-02-16,o3
462,Lucknow,IN,2020-02-21,pm25
465,Lucknow,IN,2020-03-07,no2
468,Lucknow,IN,2020-01-27,so2
470,Lucknow,IN,2020-03-02,co
473,Ghāziābād,IN,2020-02-11,o3
477,Ghāziābād,IN,2020-02-21,pm25
481,Ghāziābād,IN,2020-03-21,no2
484,Ghāziābād,IN,2020-02-21,pm10
488,Ghāziābād,IN,2020-01-27,so2
494,Hāpur,IN,2020-03-05,pm25
497,Hāpur,IN,2020-03-05,no2
500,Hāpur,IN,2020-01-05,pm10
511,Gandhinagar,IN,2020-03-08,pm25
517,Gandhinagar,IN,2020-03-25,pm10
530,Chennai,IN,2020-03-07,no2
531,Chennai,IN,2020-03-15,pm10
537,Chennai,IN,2020-01-07,co
538,Chennai,IN,2020-02-26,co
