,County,Country,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population,Unnamed: 17,Lifted Date,lat,lng,Date,Specie,City
0,Bernalillo,US,560218,2972,679121,571,3/23/2020,16.5,67.1,2.9,2.7,5.3,0,17.1,4.8,103210,,,35.106766,-106.629181,3/21/2020,o3,Albuquerque
1,Bernalillo,US,560218,2972,679121,571,3/23/2020,16.5,67.1,2.9,2.7,5.3,0,17.1,4.8,103210,,,35.106766,-106.629181,3/6/2020,no2,Albuquerque
2,Henan,CN,950301,4500,,,,,,,,,,,,,,,23.937964,108.097654,1/26/2020,o3,Anyang
3,Henan,CN,950301,4500,,,,,,,,,,,,,,,23.937964,108.097654,1/26/2020,no2,Anyang
4,Henan,CN,950301,4500,,,,,,,,,,,,,,,23.937964,108.097654,2/15/2020,co,Anyang
5,Fulton,US,498044,3539,1063937,1967,3/24/2020,13.5,42.1,44.1,8.1,0.2,0,3,2.5,113402,,,33.753746,-84.38633,,,Atlanta
6,Travis,US,964254,3031,1273954,1287,4/2/2020,12,67.6,8.4,7,0.7,0,12.4,3.7,110350,,,30.266666,-97.73333,,,Austin
7,Baltimore,US,602495,7598,827370,1384,4/1/2020,18.9,29.4,62.4,2.8,0.3,0,2.4,2.5,80846,,,39.299236,-76.609383,2/20/2020,o3,Baltimore
8,,CN,21450000,13400,,,2/10/2020,,,,,,,,,,,,39.928819,116.388869,1/26/2020,o3,Beijing
9,,CN,21450000,13400,,,2/10/2020,,,,,,,,,,,,39.928819,116.388869,1/26/2020,no2,Beijing
10,Ada,US,228790,2718,481587,457,3/25/2020,9.7,88.5,1.4,2.8,0.7,0.2,2.9,3.5,60097,,,43.6007,-116.2312,2/20/2020,o3,Boise
11,Ada,US,228790,2718,481587,457,3/25/2020,9.7,88.5,1.4,2.8,0.7,0.2,2.9,3.5,60097,,,43.6007,-116.2312,3/6/2020,co,Boise
12,Suffolk,US,694583,13933,1476601,1637,3/24/2020,17.5,52.7,21.6,8.9,0,0,11.7,4.6,91123,,,42.361145,-71.057083,2/15/2020,o3,Boston
13,Suffolk,US,694583,13933,1476601,1637,3/24/2020,17.5,52.7,21.6,8.9,0,0,11.7,4.6,91123,,,42.361145,-71.057083,3/11/2020,no2,Boston
14,Kings,US,2559903,36146.6,2559903,36146.6,3/22/2020,18.9,42.3,31.9,13.1,0.5,0,8.6,3.6,343548,,,40.650002,-73.949997,3/11/2020,pm25,Brooklyn
15,Jilin,CN,4394354,5600,,,2/6/2020,,,,,,,,,,,,43.88,125.322778,1/16/2020,o3,Changchun
16,Jilin,CN,4394354,5600,,,2/6/2020,,,,,,,,,,,,43.88,125.322778,1/21/2020,no2,Changchun
17,Jilin,CN,4394354,5600,,,2/6/2020,,,,,,,,,,,,43.88,125.322778,2/10/2020,so2,Changchun
18,Jilin,CN,4394354,5600,,,2/6/2020,,,,,,,,,,,,43.88,125.322778,1/31/2020,co,Changchun
19,Hunan,CN,5320300,11000,,,,,,,,,,,,,,,28.2,112.966667,1/16/2020,o3,Changsha
20,Hunan,CN,5320300,11000,,,,,,,,,,,,,,,28.2,112.966667,2/5/2020,pm25,Changsha
21,Hunan,CN,5320300,11000,,,,,,,,,,,,,,,28.2,112.966667,1/21/2020,no2,Changsha
22,Hunan,CN,5320300,11000,,,,,,,,,,,,,,,28.2,112.966667,1/26/2020,co,Changsha
23,Jiangsu,CN,3582581,4600,,,2/4/2020,,,,,,,,,,,,31.773585,119.954007,1/26/2020,no2,Changzhou
24,Jiangsu,CN,3582581,4600,,,2/4/2020,,,,,,,,,,,,31.773585,119.954007,2/20/2020,no2,Changzhou
25,Mecklenburg,US,872498,2757,1110356,2119,3/30/2020,11.7,50.9,32,6.5,0.5,0.1,7,3,112217,,,35.227085,-80.843124,3/6/2020,o3,Charlotte
26,Sichuan,CN,11940500,18000,,,2/7/2020,,,,,,,,,,,,30.666667,104.066667,1/21/2020,o3,Chengdu
27,Sichuan,CN,11940500,18000,,,2/7/2020,,,,,,,,,,,,30.666667,104.066667,1/21/2020,no2,Chengdu
28,Sichuan,CN,11940500,18000,,,2/7/2020,,,,,,,,,,,,30.666667,104.066667,2/20/2020,no2,Chengdu
29,Sichuan,CN,11940500,18000,,,2/7/2020,,,,,,,,,,,,30.666667,104.066667,1/31/2020,co,Chengdu
30,Cook,US,2705994,11900,5150233,5450,3/21/2020,13.8,54,23.2,7.8,0,0,11.6,3,724730,,,41.881832,-87.623177,1/31/2020,o3,Chicago
31,Cook,US,2705994,11900,5150233,5450,3/21/2020,13.8,54,23.2,7.8,0,0,11.6,3,724730,,,41.881832,-87.623177,3/11/2020,co,Chicago
32,,CN,15697611,960,,,1/31/2020,,,,,,,,,,,,29.562778,106.552778,1/26/2020,o3,Chongqing
33,,CN,15697611,960,,,1/31/2020,,,,,,,,,,,,29.562778,106.552778,1/21/2020,no2,Chongqing
34,,CN,15697611,960,,,1/31/2020,,,,,,,,,,,,29.562778,106.552778,3/6/2020,no2,Chongqing
35,Richland,US,429082,1006,415759,549,3/29/2020,16.7,45.5,46.5,2.8,0.3,0.1,2,2.7,48691,,,38.951561,-92.328636,,,Columbia
36,Franklin,US,892533,3936,1316756,2475,3/23/2020,15.5,64.2,23.3,5.7,0.2,0.1,2.8,3.7,146002,,,39.983334,-82.98333,,,Columbus
37,Dallas,US,1345047,3866,2635516,3019,4/2/2020,14.2,49.9,23,6.6,0.1,0,16.6,3.3,263792,,,32.779167,-96.808891,,,Dallas
38,Denver,US,716492,4521,727211,4520,3/24/2020,11.7,66.8,10.2,4.4,0.2,0,12.3,4.8,78751,,,39.742043,-104.991531,2/15/2020,o3,Denver
39,Denver,US,716492,4521,727211,4520,3/24/2020,11.7,66.8,10.2,4.4,0.2,0,12.3,4.8,78751,,,39.742043,-104.991531,3/1/2020,no2,Denver
40,Wayne,US,672662,4847,1749343,2858,3/24/2020,21.7,52.7,38.1,3.6,0.4,0,2.1,3,258954,,,42.331429,-83.045753,2/6/2020,o3,Detroit
41,Guangdong,CN,8220207,8600,,,2/9/2020,,,,,,,,,,,,23.048889,113.744722,1/16/2020,pm25,Dongguan
42,Guangdong,CN,8220207,8600,,,2/9/2020,,,,,,,,,,,,23.048889,113.744722,1/16/2020,no2,Dongguan
43,Guangdong,CN,8220207,8600,,,2/9/2020,,,,,,,,,,,,23.048889,113.744722,2/20/2020,no2,Dongguan
44,Guangdong,CN,8220207,8600,,,2/9/2020,,,,,,,,,,,,23.048889,113.744722,1/16/2020,pm10,Dongguan
45,Guangdong,CN,8220207,8600,,,2/9/2020,,,,,,,,,,,,23.048889,113.744722,1/26/2020,co,Dongguan
46,El Paso,US,682669,2660,839238,830,3/24/2020,20.5,80.4,3.8,1.3,0.8,0.2,10.8,2.7,97464,,,31.77,-106.5,3/21/2020,o3,El Paso
47,Tarrant,US,895008,2491,2102515,2433,3/24/2020,12.1,61.8,17.1,5.7,0.6,0.2,11.1,3.6,216591,,,32.77,-97.31,,,Fort Worth
